iter	Passed	Remaining
0	56	56808
1	57	28487
2	57	19045
3	57	14326
4	57	11491
5	57	9602
6	58	8253
7	58	7241
8	58	6453
9	58	5823
10	59	5308
11	59	4881
12	59	4518
13	59	4207
14	59	3938
15	60	3704
16	60	3497
17	60	3311
18	60	3144
19	61	2994
20	61	2858
21	61	2735
22	61	2622
23	61	2520
24	62	2425
25	62	2338
26	62	2256
27	62	2181
28	63	2111
29	63	2046
30	63	1984
31	63	1927
32	63	1873
33	64	1822
34	64	1774
35	64	1729
36	64	1686
37	64	1645
38	65	1606
39	65	1570
40	65	1535
41	65	1501
42	66	1470
43	66	1439
44	66	1410
45	66	1382
46	66	1356
47	67	1330
48	67	1306
49	67	1282
50	67	1260
51	67	1238
52	68	1217
53	68	1197
54	68	1178
55	68	1158
56	68	1140
57	69	1123
58	69	1106
59	69	1089
60	69	1074
61	70	1059
62	70	1044
63	70	1029
64	70	1015
65	70	1002
66	71	989
67	71	977
68	71	964
69	71	952
70	71	940
71	72	929
72	72	917
73	72	907
74	72	896
75	72	886
76	73	876
77	73	866
78	73	857
79	73	847
80	73	838
81	74	829
82	74	819
83	74	811
84	74	803
85	74	795
86	75	787
87	75	779
88	75	771
89	75	764
90	75	757
91	76	750
92	76	743
93	76	736
94	76	729
95	76	723
96	76	716
97	77	710
98	77	704
99	77	698
100	77	692
101	77	686
102	78	680
103	78	675
104	78	669
105	78	664
106	79	659
107	79	654
108	79	648
109	79	643
110	79	638
111	79	633
112	80	629
113	80	624
114	80	619
115	80	615
116	80	610
117	81	606
118	81	602
119	81	597
120	81	593
121	81	588
122	82	584
123	82	580
124	82	576
125	82	573
126	82	568
127	82	564
128	83	561
129	83	557
130	83	553
131	83	550
132	83	546
133	84	543
134	84	539
135	84	536
136	84	533
137	84	529
138	85	526
139	85	523
140	85	520
141	85	516
142	85	513
143	85	510
144	86	507
145	86	504
146	86	502
147	86	499
148	86	496
149	87	494
150	87	492
151	87	490
152	88	487
153	88	485
154	88	482
155	88	480
156	88	477
157	89	475
158	89	472
159	89	470
160	89	467
161	89	465
162	90	463
163	90	460
164	90	458
165	90	456
166	90	453
167	91	451
168	91	449
169	91	447
170	91	445
171	92	442
172	92	440
173	92	438
174	92	436
175	92	434
176	93	432
177	93	430
178	93	428
179	93	426
180	93	424
181	94	422
182	94	420
183	94	418
184	94	416
185	94	414
186	95	413
187	95	411
188	95	409
189	95	407
190	95	405
191	96	404
192	96	402
193	96	400
194	96	398
195	96	397
196	96	395
197	97	393
198	97	391
199	97	390
200	97	388
201	98	387
202	98	385
203	98	384
204	98	382
205	98	380
206	99	379
207	99	377
208	99	376
209	99	374
210	99	373
211	100	371
212	100	370
213	100	368
214	100	367
215	100	365
216	101	364
217	101	363
218	101	361
219	101	360
220	101	358
221	101	357
222	102	356
223	102	354
224	102	353
225	103	354
226	103	353
227	103	351
228	104	350
229	104	349
230	104	348
231	104	346
232	104	345
